Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
24/08/1994;     55,11;          1,00174333;      10,6917955043123743;
25/08/1994;     55,37;          1,00175000;      10,7105061464449209;
26/08/1994;     55,76;          1,00176000;      10,7293566372626640;
29/08/1994;     55,37;          1,00175000;      10,7481330113778736;
30/08/1994;     55,50;          1,00175333;      10,7669780354307128;
31/08/1994;     55,50;          1,00175333;      10,7858561010295745;
01/09/1994;     55,63;          1,00175667;      10,8048032908665702;
02/09/1994;     56,41;          1,00177667;      10,8239998607293541;
05/09/1994;     56,41;          1,00177667;      10,8432305365619161;
06/09/1994;     56,67;          1,00178333;      10,8625675948746831;
08/09/1994;     56,81;          1,00178667;      10,8819754185194178;
09/09/1994;     56,54;          1,00178000;      10,9013453347643824;
12/09/1994;     56,81;          1,00178667;      10,9208224414336459;
13/09/1994;     59,73;          1,00186000;      10,9411351711747124;
14/09/1994;     57,20;          1,00179667;      10,9607927805027069;
15/09/1994;     56,81;          1,00178667;      10,9803761001398477;
16/09/1994;     57,20;          1,00179667;      11,0001042124676859;
19/09/1994;     57,20;          1,00179667;      11,0198677697031003;
20/09/1994;     57,33;          1,00180000;      11,0397035316885658;
21/09/1994;     57,20;          1,00179667;      11,0595382358328447;
22/09/1994;     57,20;          1,00179667;      11,0794085763950185;
23/09/1994;     57,07;          1,00179333;      11,0992776121773250;
26/09/1994;     57,07;          1,00179333;      11,1191822796975710;
27/09/1994;     57,20;          1,00179667;      11,1391597809240352;
28/09/1994;     57,20;          1,00179667;      11,1591731751276280;
29/09/1994;     57,33;          1,00180000;      11,1792596868428577;
30/09/1994;     57,33;          1,00180000;      11,1993823542791749;
04/10/1994;     59,99;          1,00186667;      11,2202879053384372;
05/10/1994;     59,99;          1,00186667;      11,2412324801626953;
06/10/1994;     59,99;          1,00186667;      11,2622161515964406;
07/10/1994;     59,86;          1,00186333;      11,2832013768181948;
10/10/1994;     59,86;          1,00186333;      11,3042257044396614;
11/10/1994;     59,99;          1,00186667;      11,3253269634353678;
13/10/1994;     60,13;          1,00187000;      11,3465053248569919;
14/10/1994;     60,13;          1,00187000;      11,3677232898144745;
17/10/1994;     59,99;          1,00186667;      11,3889430778478725;
18/10/1994;     59,99;          1,00186667;      11,4102024762229988;
19/10/1994;     59,99;          1,00186667;      11,4315015588792900;
20/10/1994;     59,99;          1,00186667;      11,4528403998942032;
21/10/1994;     59,99;          1,00186667;      11,4742190734834737;
24/10/1994;     60,13;          1,00187000;      11,4956758631508878;
25/10/1994;     60,13;          1,00187000;      11,5171727770149799;
